1	3.879	-0.261	0.022	0	3.098	0.022	0	0	0.24	0.661	0.099	2	10
4	8.025	-1.18	0.09	-0.002	8.058	-1.203	0.092	-0.002	0.98	0.001	0.019	1	18
6	7.111	-0.686	0.047	-0.001	7.836	-1.238	0.092	-0.002	0.517	0.02	0.464	1	16
8	11.108	-0.85	0.054	-0.001	12.156	-1.331	0.092	-0.002	0.585	0.3	0.115	1	9
9	6.714	-0.363	0.024	-0.001	6.516	-0.057	0	0	0.264	0.169	0.568	3	11
10	5.577	-1.097	0.081	-0.002	5.821	-1.224	0.092	-0.002	0.888	0.088	0.024	1	12
11	11.006	-0.417	0.026	-0.001	10.217	-0.107	0	0	0.285	0.35	0.365	3	18
12	10.218	-1.104	0.078	-0.002	10.568	-1.276	0.092	-0.002	0.85	0.044	0.106	1	7
15	6.455	-0.117	0.008	0	6.467	-0.033	0	0	0.085	0.097	0.818	3	12
16	10.801	-1.145	0.077	-0.002	11.165	-1.334	0.092	-0.002	0.838	0.007	0.155	1	11
17	7.164	-0.205	0.01	0	6.997	-0.084	0	0	0.106	0.013	0.881	3	11
19	5.174	-0.469	0.026	-0.001	4.491	-0.146	0	0	0.287	0.705	0.009	2	13
20	6.482	-0.501	0.034	-0.001	5.583	-0.092	0	0	0.375	0.566	0.059	2	16
21	13.545	-1.126	0.064	-0.001	14.449	-1.49	0.092	-0.002	0.7	0.013	0.286	1	12
22	6.597	-1.235	0.089	-0.002	6.658	-1.268	0.092	-0.002	0.971	0.024	0.005	1	9
24	13.266	0.028	0	0	13.268	0.031	0	0	0.002	0.989	0.009	2	18
25	6.221	-0.374	0.033	-0.001	5.305	0.055	0	0	0.36	0.603	0.038	2	14
26	10.325	0.233	0	0	10.223	0.282	0	0	0.001	0.841	0.158	2	11
29	6.532	-0.088	0.005	0	6.173	-0.013	0	0	0.053	0.673	0.274	2	18
30	4.644	-0.943	0.078	-0.002	5.028	-1.115	0.092	-0.002	0.851	0.142	0.006	1	12
